recording,molly_calls
clip_10.wav,0
clip_13 - Copy.wav,0
clip_17.wav,0
clip_19 - Copy.wav,0
clip_21.wav,0
clip_25.wav,0
clip_26 - Copy.wav,0
clip_30.wav,0
clip_37.wav,0
clip_4 - Copy.wav,0
clip_40.wav,0
clip_6 - Copy.wav,0
clip_8 - Copy.wav,0
molly10 - Copy.wav,0
molly10.wav,0
molly11 - Copy.wav,0
molly11.wav,0
molly12 - Copy.wav,0
molly12.wav,0
molly8 - Copy.wav,0
molly8.wav,0
molly9 - Copy.wav,0
molly9.wav,0
split_1 (11).wav,0
split_1 (13).wav,0
split_1 (16).wav,0
split_1 (3).wav,0
split_1 (6).wav,0
split_2 (1).wav,0
split_2 (3).wav,0
